ID,Handle,Command,Title,Tags,Status,Variant Inventory Item ID,Variant ID,Option1 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Policy,Variant Inventory Qty,Variant Metafield: my_fields.website_product_url [url],Variant Metafield: my_fields.model [single_line_text_field],Variant Metafield: my_fields.market_model_code [single_line_text_field],Variant Metafield: my_fields.model_group_code [single_line_text_field],Variant Metafield: my_fields.product_family_code [single_line_text_field],Variant Metafield: my_fields.product_group_code [single_line_text_field],Variant Metafield: my_fields.discount_reason [list.single_line_text_field],Variant Metafield: custom.msrp [money],Variant Metafield: my_fields.product_obsolete_date [date],Variant Metafield: variant.discontinue_status_reason [single_line_text_field],Variant Metafield: custom.variant_draft_reason [list.single_line_text_field],Variant Metafield: my_fields.variant_type [list.single_line_text_field],Variant Metafield: my_fields.source_sku [variant_reference],Variant Metafield: variant.website_product_type [single_line_text_field],Variant Metafield: variant.product_brand [single_line_text_field],Variant Metafield: custom.product_launch_date [single_line_text_field]
3739300954164,fluke-374-fc-true-rms-ac-dc-clamp-meter,MERGE,Fluke 374 FC True-RMS AC/DC Clamp Meter,,Active,29953639972916,28896571490356,Default Title,5065983,1 WEEK,0,500.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-374-fc,FLUKE-374  FC,374FC,CLAMP,EPROD,A,,,,,,,,,,
3739300986932,fluke-375-fc-true-rms-ac-dc-clamp-meter,MERGE,Fluke 375 FC True-RMS AC/DC Clamp Meter,,Active,33799962689588,32218165215284,Fluke 375 FC,5065976,1 DAY,0,567.99,,TRUE,,deny,171,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-375-fc,FLUKE-375  FC,375FC,CLAMP,EPROD,A,,,,,,,,,,
3739301019700,fluke-902-fc-true-rms-hvac-clamp-meter,MERGE,Fluke 902 FC True-RMS HVAC Clamp Meter,,Active,29953640038452,28896571555892,Default Title,4695814,1 DAY,501,330.29,366.99,TRUE,,deny,273,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-902-fc,FLUKE-902 FC,902FC,CLAMP,EPROD,A,,,,,,,,,,
3739301052468,fluke-9040-phase-rotation-indicator,MERGE,Fluke 9040 Phase Rotation Indicator,,Active,29953640103988,28896571621428,Default Title,2435050,1 DAY,0,409.99,,TRUE,,deny,174,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-9040,FLUKE-9040,9040,ETEST,EPROD,A,,,,,,,,,,
3739301085236,fluke-i2500-10-iflex-flexible-current-probes,MERGE,Fluke i2500-10 iFlex&reg; Flexible Current Probes,"10 days, Fluke-Tools",Active,29953640136756,28896571654196,Default Title,3676410,1 DAY,0,216.99,,TRUE,,deny,68,https://www.fluke.com/en-us/product/accessories/current-clamps/fluke-i2500-10-iflex,FLUKE-I2500-10,IFLEX,CLAMP,EPROD,A,,,,,,,,,,
3739301118004,fluke-i2500-18-iflex-flexible-current-probes,MERGE,Fluke i2500-18 iFlex&reg; Flexible Current Probes,"10 days, Fluke-Tools",Active,29953640202292,28896571719732,Default Title,3676405,1 DAY,0,216.99,,TRUE,,deny,54,https://www.fluke.com/en-us/product/accessories/current-clamps/fluke-i2500-18-iflex,FLUKE-I2500-18,IFLEX,CLAMP,EPROD,A,,,,,,,,,,
3739301150772,fluke-lvd1a-non-contact-voltage-tester-with-led-flashlight,MERGE,Fluke LVD1A Non-Contact Voltage Tester with LED Flashlight,,Draft,29953640267828,28896571785268,Default Title,4571403,1 DAY,0,51.99,,TRUE,,deny,10,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-lvd1,LVD1A,LVD,VALRT,EPROD,A,,,2022-10-01,Liquidate,"[""Stop Sell""]",,,,,
3739301216308,fluke-lvd2-non-contact-voltage-tester,MERGE,Fluke LVD2 Non-Contact Voltage Tester,,Active,29953640464436,28896571850804,Default Title,2740300,1 DAY,0,53.99,,TRUE,,deny,2671,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-lvd2,LVD2,LVD,VALRT,EPROD,A,,,,,,,,,,
3739301249076,fluke-prv240fs-proving-unit,MERGE,Fluke PRV240FS Proving Unit,,Active,29953640497204,28896571883572,Default Title,4910310,1 DAY,0,209.99,,TRUE,,deny,3129,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-prv240fs-proving-unit,PRV240FS,PRV240,T6,EPROD,A,,,,,,,,,,
3739301314612,fluke-tplus-electrical-tester,MERGE,Fluke T+ Electrical Tester,,Active,29953640792116,28896572178484,Default Title,2548094,1 DAY,501,98.99,109.99,TRUE,,deny,5,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-t-plus,T+,TPLUS,TPOLE,EPROD,A,,,,,,,,,,
